movie, characters
Los vengadores 2,TONY STARK / IRON MAN : THOR ODINSON : BRUCE BANNER / HULK : STEVE ROGERS / CAPTAIN AMERICA : NATASHA ROMANOFF / BLACK WIDOW : CLINT BARTON / HAWKEYE : ULTRON (VOICE) : NICK FURY : JAMES RHODES / WAR MACHINE : PIETRO MAXIMOFF / QUICKSILVER : WANDA MAXIMOFF / SCARLET WITCH : JARVIS (VOICE) / VISION : MARIA HILL : SAM WILSON / THE FALCON : PEGGY CARTER : HEIMDALL : LAURA BARTON : ERIK SELVIG : DR. HELEN CHO : STRUCKER : ULYSSES KLAUE / KLAW : MADAME B : HIMSELF : DR. LIST : FORTRESS SOLDIER : STRUCKER MERCENARY : ZRINKA : COSTEL : SOKOVIAN ACID STUDENT : DR. CHO'S ASSISTANT : KLAUE'S MERCENARY : BALLET INSTRUCTOR : JOHANNESBURG COP : JOHANNESBURG DRIVER : JOHANNESBURG ONLOOKER : JOHANNESBURG ELEVATOR PASSENGER : COOPER BARTON : LILA BARTON : WORLD HUB TECH : KOREAN TRAIN PASSENGER : SOKOVIAN FAMILY : SOKOVIAN WOMAN : TUB FAMILY CHILD : SOKOVIAN DRIVER : SOKOVIAN SUV DRIVER : SOKOVIAN SUV PASSENGER : SOKOVIAN POLICE CAPTAIN : SPECIALIST CAMERON KLEIN : FRIDAY (VOICE) : NATHANIEL PIETRO BARTON : CITIZEN
Capitán américa: civil war,STEVE ROGERS / CAPTAIN AMERICA : TONY STARK / IRON MAN : NATASHA ROMANOFF / BLACK WIDOW : BUCKY BARNES / WINTER SOLDIER : SAM WILSON / FALCON : LIEUTENANT JAMES RHODES / WAR MACHINE : CLINT BARTON / HAWKEYE : T'CHALLA / BLACK PANTHER : VISION : WANDA MAXIMOFF / SCARLET WITCH : SCOTT LANG / ANT-MAN : SHARON CARTER : PETER PARKER / SPIDER-MAN : BROCK RUMLOW / CROSSBONES : SECRETARY OF STATE THADDEUS ROSS : ZEMO : EVERETT K. ROSS : HOWARD STARK : MAY PARKER : MARIA STARK : KING T'CHAKA : FRIDAY (VOICE) : KARPOV : AYO : MIRIAM : M.I.T. LIAISON : FEDEX DRIVER : DR. BROUSSARD : HERO MERC #1 : MRI TECH : VICAR : JOSEF / SUPER SOLDIER #1 : SUPER SOLDIER #2 : SUPER SOLDIER #3 : SUPER SOLDIER #4 : SUPER SOLDIER #5 : ZEMO'S WIFE (VOICE) : ATTACHÉ : MAN AT KIOSK : GSG9 TASK FORCE GUNNER : GSG9 TASK FORCE PILOT : GERMAN INNKEEPER : RAFT GUARD : BARGE MAN #1 : BARGE MAN #2 : CUSTODIAN : FUNERAL DIRECTOR : WOMAN IN LOBBY #1 : WOMAN IN LOBBY #2 : DELIVERY TRUCK DRIVER : CHOIR : CHINESE NEWSCASTER : GERMAN NEWSCASTER #1 : GERMAN NEWSCASTER #2 : NEWS REPORTER : BUSBOY (LAGOS) : WAITER (LAGOS) : SECRETARY ROSS'S AIDE : HERO MERC #2 : HERO MERC #3 : HERO MERC #4 : TEENAGE GIRL : UN STAFFER GIBSON : STARK'S ASSISTANT : NURSE : CULTURAL ATTACHÉ : HELICOPTER PILOT
Guardianes de la galaxia 2,PETER QUILL / STAR-LORD : GAMORA : DRAX : BABY GROOT (VOICE) : ROCKET (VOICE) : YONDU : NEBULA : MANTIS : STAKAR OGORD : EGO : AYESHA : TASERFACE : KRAGLIN / ON-SET ROCKET : TULLK : MEREDITH QUILL : SOVEREIGN CHAMBERMAID : SOVEREIGN PILOT : SOVEREIGN ADMIRAL : ZYLAK (AS ALEX KLEIN) : ZYLAK'S FRENEMY : RETCH : OBLO : NARBLIK : HALFNUT : BRAHL : GEF : HUHTAR : DOWN THERE : UNSEEN RAVAGER : ROBOT COURTESAN : ROBOT COURTESAN (AS KENDRA STAUB) : HOWARD THE DUCK (VOICE) : HOWARD'S DATE (AS MOLLY QUINN) : MARTINEX : SNEEPER MADAME : WATCHER INFORMANT : THE FORM OF DAVID HASSELHOFF : OFFICER FITZGIBBON : WEIRD OLD MAN (AS JAMES GUNN, SR.) : WEIRD OLD MAN'S MISTRESS : EASIK MOTHER : YOUNG PETER QUILL : GRANDPA QUILL : GRANDPA QUILL'S FRIEND : CHARLIE-27 : ALETA OGORD : YOUNG EGO FACIAL REFERENCE
Spiderman Homecoming,PETER PARKER / SPIDER-MAN : ADRIAN TOOMES / THE VULTURE : TONY STARK / IRON MAN : MAY PARKER : HAROLD 'HAPPY' HOGAN : MICHELLE 'MJ' JONES : NED : LIZ TOOMES : AARON DAVIS : EUGENE 'FLASH' THOMPSON : HERMAN SCHULTZ / SHOCKER #2 : JACKSON 'MONTANA' BRICE / SHOCKER #1 : PHINEAS MASON / THE TINKERER : PEPPER POTTS : KAREN / SUIT LADY (VOICE) : ANNE MARIE HOAG : COACH WHIZ WILSON : ROGER HARRINGTON : PRINCIPAL MORITA : MS. WARREN : STEVE ROGERS / CAPTAIN AMERICA : MAC GARGAN : DORIS TOOMES : BETTY BRANDT : SALLY AVRIL : JASON IONELLO : SEYMOUR O' REILLY : ABRAHAM 'ABE' BROWN : CINDY MOON : CHARLES MURPHY : BRIAN 'TINY' MCKEEVER : FRIDAY (VOICE) : MR. DELMAR : MR. COBBWELL : TOUR GUIDE : PUNK ON STREET : AGENT FOSTER : GARY : TBD : RANDY VALE : MR. HAPGOOD : STREET VENDOR : CAR JACKER : YELLING WOMAN : YELLING MAN : DAY SLEEPER : THAI WAITER : HISTORY TEACHER : TENT KID : PARK RANGER : DECATHLON MODERATOR : HELICOPTER PILOT : FERRY KID : FERRY MOM : FERRY COMMUTER : YEAH SPIDER-MAN GUY : DEAN CRIMSON : STARK TOWER TECHNICIAN : STARK TOWER EMPLOYEE : NYC PEDESTRIAN : HIGH SCHOOL STUDENT : PARTY GIRL : NYC COMMUTER : FERRY PASSENGER : BANK CUSTOMER : UNHAPPY TEEN : INDIAN FLOWER GIRL : HOMECOMING DANCE STUDENT : DRAMA CLUB STUDENT : GIRL ON ELEVATOR : PRISON GUARD : FIREFIGHTER : DECATHLON COMPETITOR : SKATEBOARDER : MIDTOWN STUDENT : NY PEDESTRIAN : NYPD OFFICER : COMMUTER : RABBI ON SUBWAY : DODC GUARD : STREET VENDOR / PEDESTRIAN : PHOTOGRAPHER : NEW YORKER : COLLEGE RECRUITER : METRO POLICE OFFICER : CONSTRUCTION WORKER : FDNY FIREFIGHTER : TONY STARK'S TECHNICIAN : STUDENT / WEDDING GUEST : AVENGER'S STAFF AGENT : STUDENT : INMATE : SCREAMING GIRL #2 : DC NEWS REPORTER : STARK VTOL PILOT : NED LEED'S DAD : VULTURE HENCHMAN : PARTY GOER : MASCOT : FIREMAN 
Thor ragnarok,THOR ODINSON : LOKI : HELA : HEIMDALL : BRUNNHILDE / VALKYRIE : GRANDMASTER : SKURGE : BRUCE BANNER / THE HULK : ODIN : HOGUN : VOLSTAGG : FANDRAL : STEPHEN STRANGE / DOCTOR STRANGE : TOPAZ : KORG / SURTUR (MO-CAP) : SURTUR (VOICE) : BARBER : ACTOR ODIN : ACTOR THOR : ACTOR LOKI : ASGARDIAN DATE #1 : ASGARDIAN DATE #2 : ACTOR SIF : ODIN'S ASSISTANT : COLLEGE GIRL #1 : COLLEGE GIRL #2 : LEAD SCRAPPER : GOLDEN LADY #1 : GOLDEN LADY #2 : COUSIN CARLO : BEERBOT 5000 : WARDEN : ASGARDIAN DAUGHTER : ASGARDIAN MOTHER : ASGARDIAN UNCLE : ASGARDIAN SON : VALKYRIE SISTER #1 : VALKYRIE SISTER #2 : ASGARDIAN WOMAN : ASGARDIAN MAN : ASGARDIAN : ASGARDIAN SERVANT : GM PILOT : GRANDMASTER VIP : NEW YORK BUSINESSMAN : TWIN SAKAARAN CITIZEN : NATASHA ROMANOFF / BLACK WIDOW
"X-Men,CHARLES XAVIER / PROFESSOR X : LOGAN / WOLVERINE : ERIC LENSHERR / MAGNETO : ORORO MUNROE / STORM : JEAN GREY / PHOENIX : SCOTT SUMMERS / CYCLOPS : MARIE D'ANCANTO / ROGUE : RAVEN DARKHOLME / MYSTIQUE : MORTIMER TOYNBEE / TOAD : VICTOR CREED / SABRETOOTH : SENATOR KELLY : HENRY GYRICH : MAGNETO'S MOTHER : MAGNETO'S FATHER : ROGUE'S BOYFRIEND : HOT DOG VENDOR : BOBBY DRAKE / ICEMAN : KATHERINE ""KITTY"" PRYDE / SHADOWCAT : JOHN ALLERDYCE / PYRO "
"X-Men 2,CHARLES XAVIER / PROFESSOR X : LOGAN / WOLVERINE : ERIC LENSHERR / MAGNETO : ORORO MUNROE / STORM : JEAN GREY / PHOENIX : SCOTT SUMMERS / CYCLOPS : RAVEN DARKHOLME / MYSTIQUE : WILLIAM STRYKER : KURT WAGNER / NIGHTCRAWLER : SENATOR KELLY : YURIKO OYAMA / LADY DEATHSTRIKE : MARIE D'ANCANTO / ROGUE : BOBBY DRAKE / ICEMAN : JOHN ALLERDYCE / PYRO : KATHERINE ""KITTY"" PRYDE / SHADOWCAT : JUBILEE : ARTIE : THERESA CASSIDY / SIRYN : JASON 143 : DOUGLAS RAMSEY / CYPHER : PIOTR RASPUTIN / COLOSSUS : SURGEON : PRESIDENT MCKENNA : WHITE HOUSE TOUR GUIDE : NEWS REPORTER : STRYKER SOLDIER #1 : OVAL OFFICE AGENT CARTWRIGHT : CAPTURED X-KID : DR. HANK MCCOY"
"X-Men: The last stand,LOGAN / WOLVERINE : ORORO MUNROE / STORM : ERIC LEHNSHERR / MAGNETO : CHARLES XAVIER / PROFESSOR X : JEAN GREY / PHOENIX : MARIE D'ANCANTO / ROGUE : DR. HENRY 'HANK' MCCOY / BEAST : BOBBY DRAKE / ICEMAN : JOHN ALLERDYCE / PYRO : KATHERINE ""KITTY"" PRYDE / SHADOWCAT : RAVEN DARKHOLME / MYSTIQUE : SCOTT SUMMERS / CYCLOPS : CAIN MARKO / JUGGERNAUT : WARREN WORTHINGTON III / ANGEL : PIOTR RASPUTIN / COLOSSUS : CALLISTO : JIMMY / LEECH : QUENTIN QUIRE / KID OMEGA : JAMIE MADROX / MULTIPLE MAN : PHILIPPA SONTAG / ARCLIGHT : BETSY BRADDOCK / PSYLOCKE : JUBILATION LEE / JUBILEE : THERESA ROURKE CASSIDY / SIRYN : WARREN WORTHINGTON II : DR. KAVITA RAO : THE PRESIDENT : TRASK : YOUNG JEAN GREY : YOUNG ANGEL : WATERHOSE MAN : MINIVAN SON #2 : MOIRA MCTAGGERT "
X-Men Origins: Wolverine,LOGAN / WOLVERINE / WEAPON X : VICTOR CREED / SABRETOOTH : STRYKER : KAYLA SILVERFOX / SILVER FOX : WADE WILSON / DEADPOOL / WEAPON XI : JOHN WRAITH / KESTREL : REMY LEBEAU / THE GAMBIT : FRED DUKES / BLOB : CHRIS BRADLEY / BOLT : DAVID NORTH / AGENT ZERO : SCOTT SUMMERS / CYCLOPS : HEATHER HUDSON : TRAVIS HUDSON : JAMES : YOUNG VICTOR : JOHN HOWLETT : THOMAS LOGAN : ELIZABETH HOWLETT : FIRING SQUAD LEADER : CARNIVAL GUY : CARNIVAL GIRL : SCHOOL CHILD : LOGGING SUPERVISOR : PHELAN : MARCUSE : VAN MIER : BARTENDER : SURGEON : MALE NURSE #1 : MALE NURSE #2 : DR. CORNELIUS : DR. CAROL FROST : LEAD TECHNICIAN - ALKALI LAKE : GENERAL MUNSON : PLATOON LEADER : MUTTERING MAN : NERVOUS AFRICAN WOMAN : STRYKER AIDE : CURTIS : KAYLA'S SISTER / EMMA : POKER PLAYER : WOMAN OF THE NIGHT : HUGE DOORMAN : DRUNKEN MAN IN ALLEY : DRIVER : AFRICAN BUSINESSMAN : TEACHER : SPECIAL FORCES COMMANDER : VIETNAMESE CHILD : HUNTER #1 : HUNTER #2 : VIETNAM ARMY OFFICER : WAITRESS : TANK SOLDIER : VIETNAMESE MAN : VIETNAMESE WOMAN : MUTANT TWIN #1 : MUTANT TWIN #2 : WEAPON XI : HELICOPTER PILOT : CHARLES XAVIER / PROFESSOR X
X-Men: First Class,CHARLES XAVIER / PROFESSOR X : ERIK LEHNSHERR / MAGNETO : RAVEN DARKHOLME / MYSTIQUE : SEBASTIAN SHAW / BLACK BISHOP : MOIRA MACTAGGERT : HANK MCCOY / BEAST : EMMA FROST / WHITE QUEEN : AZAZEL : ALEX SUMMERS / HAVOK : SEAN CASSIDY / BANSHEE : ANGEL SALVADORE / TEMPEST : MAN IN BLACK SUIT : ARMANDO MUÑOZ / DARWIN : JANOS QUESTED / RIPTIDE : CIA DIRECTOR MCCONE : RUSSIAN GENERAL : COLONEL HENDRY : CAPTAIN : YOUNG RAVEN (10 YRS) : CHARLES XAVIER (12 YEARS) : MRS. XAVIER : YOUNG ERIK : WILLIAM STRYKER : LEVENE : US GENERAL : SECRETARY OF STATE : COMMUNICATIONS OFFICER : MYSTIQUE - OLDER : SOVIET NCO : RUSSIAN GENERAL'S BODYGUARD : CHIEF WARDEN : CO-ED : EDIE LENSHERR : MAN IN BLACK SUIT AGENT : ARAL SEA CAPTAIN : MR. LENSHERR (ERIK'S DAD) : SWISS BANK MANAGER : 1ST GERMAN / PIG FARMER : 2ND GERMAN / TAILOR
