Source;Target;Weight;Type
SWEAT SHOP AGENT;EXTREMIS SOLDIER";1;Undirected
MANDARIN GUARD;MANDARIN GUARD (AS JUAN BOFILL);1;Undirected
MANDARIN GUARD;MANDARIN GUARD (AS PAUL O'CONNOR);1;Undirected
MANDARIN GUARD;SLEEPY MANDARIN GIRL;1;Undirected
MANDARIN GUARD;ANNOYED MANDARIN GUARD;1;Undirected
MANDARIN GUARD;MANDARIN PARTY GIRL #1;1;Undirected
MANDARIN GUARD;MANDARIN PARTY GIRL #2;1;Undirected
MANDARIN GUARD;TONY'S GUARD;1;Undirected
MANDARIN GUARD;PONYTAIL EXPRESS;1;Undirected
MANDARIN GUARD;RELUCTANT AIM GUARD;1;Undirected
MANDARIN GUARD;AIM PING PONG GIRL;1;Undirected
MANDARIN GUARD;SECRET SERVICE AGENT;1;Undirected
MANDARIN GUARD;VICE PRESIDENT'S DAUGHTER;1;Undirected
MANDARIN GUARD;IRON PATRIOT FAN #1;1;Undirected
MANDARIN GUARD;IRON PATRIOT FAN #2;1;Undirected
MANDARIN GUARD;AIR FORCE ONE OFFICER;1;Undirected
MANDARIN GUARD;NAVY OP;1;Undirected
MANDARIN GUARD;COMMANDER;1;Undirected
MANDARIN GUARD;HEATHER;1;Undirected
MANDARIN GUARD;EXTREMIS SOLDIER";1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);MANDARIN GUARD (AS PAUL O'CONNOR);1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);SLEEPY MANDARIN GIRL;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);ANNOYED MANDARIN GUARD;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);MANDARIN PARTY GIRL #1;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);MANDARIN PARTY GIRL #2;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);TONY'S GUARD;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);PONYTAIL EXPRESS;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);RELUCTANT AIM GUARD;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);AIM PING PONG GIRL;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);SECRET SERVICE AGENT;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);VICE PRESIDENT'S DAUGHTER;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);IRON PATRIOT FAN #1;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);IRON PATRIOT FAN #2;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);AIR FORCE ONE OFFICER;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);NAVY OP;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);COMMANDER;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);HEATHER;1;Undirected
MANDARIN GUARD (AS JUAN BOFILL);EXTREMIS SOLDIER";1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);SLEEPY MANDARIN GIRL;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);ANNOYED MANDARIN GUARD;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);MANDARIN PARTY GIRL #1;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);MANDARIN PARTY GIRL #2;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);TONY'S GUARD;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);PONYTAIL EXPRESS;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);RELUCTANT AIM GUARD;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);AIM PING PONG GIRL;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);SECRET SERVICE AGENT;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);VICE PRESIDENT'S DAUGHTER;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);IRON PATRIOT FAN #1;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);IRON PATRIOT FAN #2;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);AIR FORCE ONE OFFICER;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);NAVY OP;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);COMMANDER;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);HEATHER;1;Undirected
MANDARIN GUARD (AS PAUL O'CONNOR);EXTREMIS SOLDIER";1;Undirected
SLEEPY MANDARIN GIRL;ANNOYED MANDARIN GUARD;1;Undirected
SLEEPY MANDARIN GIRL;MANDARIN PARTY GIRL #1;1;Undirected
SLEEPY MANDARIN GIRL;MANDARIN PARTY GIRL #2;1;Undirected
SLEEPY MANDARIN GIRL;TONY'S GUARD;1;Undirected
SLEEPY MANDARIN GIRL;PONYTAIL EXPRESS;1;Undirected
SLEEPY MANDARIN GIRL;RELUCTANT AIM GUARD;1;Undirected
SLEEPY MANDARIN GIRL;AIM PING PONG GIRL;1;Undirected
SLEEPY MANDARIN GIRL;SECRET SERVICE AGENT;1;Undirected
SLEEPY MANDARIN GIRL;VICE PRESIDENT'S DAUGHTER;1;Undirected
SLEEPY MANDARIN GIRL;IRON PATRIOT FAN #1;1;Undirected
SLEEPY MANDARIN GIRL;IRON PATRIOT FAN #2;1;Undirected
SLEEPY MANDARIN GIRL;AIR FORCE ONE OFFICER;1;Undirected
SLEEPY MANDARIN GIRL;NAVY OP;1;Undirected
SLEEPY MANDARIN GIRL;COMMANDER;1;Undirected
SLEEPY MANDARIN GIRL;HEATHER;1;Undirected
SLEEPY MANDARIN GIRL;EXTREMIS SOLDIER";1;Undirected
ANNOYED MANDARIN GUARD;MANDARIN PARTY GIRL #1;1;Undirected
ANNOYED MANDARIN GUARD;MANDARIN PARTY GIRL #2;1;Undirected
ANNOYED MANDARIN GUARD;TONY'S GUARD;1;Undirected
ANNOYED MANDARIN GUARD;PONYTAIL EXPRESS;1;Undirected
ANNOYED MANDARIN GUARD;RELUCTANT AIM GUARD;1;Undirected
ANNOYED MANDARIN GUARD;AIM PING PONG GIRL;1;Undirected
ANNOYED MANDARIN GUARD;SECRET SERVICE AGENT;1;Undirected
ANNOYED MANDARIN GUARD;VICE PRESIDENT'S DAUGHTER;1;Undirected
ANNOYED MANDARIN GUARD;IRON PATRIOT FAN #1;1;Undirected
ANNOYED MANDARIN GUARD;IRON PATRIOT FAN #2;1;Undirected
ANNOYED MANDARIN GUARD;AIR FORCE ONE OFFICER;1;Undirected
ANNOYED MANDARIN GUARD;NAVY OP;1;Undirected
ANNOYED MANDARIN GUARD;COMMANDER;1;Undirected
ANNOYED MANDARIN GUARD;HEATHER;1;Undirected
ANNOYED MANDARIN GUARD;EXTREMIS SOLDIER";1;Undirected
MANDARIN PARTY GIRL #1;MANDARIN PARTY GIRL #2;1;Undirected
MANDARIN PARTY GIRL #1;TONY'S GUARD;1;Undirected
MANDARIN PARTY GIRL #1;PONYTAIL EXPRESS;1;Undirected
MANDARIN PARTY GIRL #1;RELUCTANT AIM GUARD;1;Undirected
MANDARIN PARTY GIRL #1;AIM PING PONG GIRL;1;Undirected
MANDARIN PARTY GIRL #1;SECRET SERVICE AGENT;1;Undirected
MANDARIN PARTY GIRL #1;VICE PRESIDENT'S DAUGHTER;1;Undirected
MANDARIN PARTY GIRL #1;IRON PATRIOT FAN #1;1;Undirected
MANDARIN PARTY GIRL #1;IRON PATRIOT FAN #2;1;Undirected
MANDARIN PARTY GIRL #1;AIR FORCE ONE OFFICER;1;Undirected
MANDARIN PARTY GIRL #1;NAVY OP;1;Undirected
MANDARIN PARTY GIRL #1;COMMANDER;1;Undirected
MANDARIN PARTY GIRL #1;HEATHER;1;Undirected
MANDARIN PARTY GIRL #1;EXTREMIS SOLDIER";1;Undirected
MANDARIN PARTY GIRL #2;TONY'S GUARD;1;Undirected
MANDARIN PARTY GIRL #2;PONYTAIL EXPRESS;1;Undirected
MANDARIN PARTY GIRL #2;RELUCTANT AIM GUARD;1;Undirected
MANDARIN PARTY GIRL #2;AIM PING PONG GIRL;1;Undirected
MANDARIN PARTY GIRL #2;SECRET SERVICE AGENT;1;Undirected
MANDARIN PARTY GIRL #2;VICE PRESIDENT'S DAUGHTER;1;Undirected
MANDARIN PARTY GIRL #2;IRON PATRIOT FAN #1;1;Undirected
MANDARIN PARTY GIRL #2;IRON PATRIOT FAN #2;1;Undirected
MANDARIN PARTY GIRL #2;AIR FORCE ONE OFFICER;1;Undirected
MANDARIN PARTY GIRL #2;NAVY OP;1;Undirected
MANDARIN PARTY GIRL #2;COMMANDER;1;Undirected
MANDARIN PARTY GIRL #2;HEATHER;1;Undirected
MANDARIN PARTY GIRL #2;EXTREMIS SOLDIER";1;Undirected
TONY'S GUARD;PONYTAIL EXPRESS;1;Undirected
TONY'S GUARD;RELUCTANT AIM GUARD;1;Undirected
TONY'S GUARD;AIM PING PONG GIRL;1;Undirected
TONY'S GUARD;SECRET SERVICE AGENT;1;Undirected
TONY'S GUARD;VICE PRESIDENT'S DAUGHTER;1;Undirected
TONY'S GUARD;IRON PATRIOT FAN #1;1;Undirected
TONY'S GUARD;IRON PATRIOT FAN #2;1;Undirected
TONY'S GUARD;AIR FORCE ONE OFFICER;1;Undirected
TONY'S GUARD;NAVY OP;1;Undirected
TONY'S GUARD;COMMANDER;1;Undirected
TONY'S GUARD;HEATHER;1;Undirected
TONY'S GUARD;EXTREMIS SOLDIER";1;Undirected
PONYTAIL EXPRESS;RELUCTANT AIM GUARD;1;Undirected
PONYTAIL EXPRESS;AIM PING PONG GIRL;1;Undirected
PONYTAIL EXPRESS;SECRET SERVICE AGENT;1;Undirected
PONYTAIL EXPRESS;VICE PRESIDENT'S DAUGHTER;1;Undirected
PONYTAIL EXPRESS;IRON PATRIOT FAN #1;1;Undirected
PONYTAIL EXPRESS;IRON PATRIOT FAN #2;1;Undirected
PONYTAIL EXPRESS;AIR FORCE ONE OFFICER;1;Undirected
PONYTAIL EXPRESS;NAVY OP;1;Undirected
PONYTAIL EXPRESS;COMMANDER;1;Undirected
PONYTAIL EXPRESS;HEATHER;1;Undirected
PONYTAIL EXPRESS;EXTREMIS SOLDIER";1;Undirected
RELUCTANT AIM GUARD;AIM PING PONG GIRL;1;Undirected
RELUCTANT AIM GUARD;SECRET SERVICE AGENT;1;Undirected
RELUCTANT AIM GUARD;VICE PRESIDENT'S DAUGHTER;1;Undirected
RELUCTANT AIM GUARD;IRON PATRIOT FAN #1;1;Undirected
RELUCTANT AIM GUARD;IRON PATRIOT FAN #2;1;Undirected
RELUCTANT AIM GUARD;AIR FORCE ONE OFFICER;1;Undirected
RELUCTANT AIM GUARD;NAVY OP;1;Undirected
RELUCTANT AIM GUARD;COMMANDER;1;Undirected
RELUCTANT AIM GUARD;HEATHER;1;Undirected
RELUCTANT AIM GUARD;EXTREMIS SOLDIER";1;Undirected
AIM PING PONG GIRL;SECRET SERVICE AGENT;1;Undirected
AIM PING PONG GIRL;VICE PRESIDENT'S DAUGHTER;1;Undirected
AIM PING PONG GIRL;IRON PATRIOT FAN #1;1;Undirected
AIM PING PONG GIRL;IRON PATRIOT FAN #2;1;Undirected
AIM PING PONG GIRL;AIR FORCE ONE OFFICER;1;Undirected
AIM PING PONG GIRL;NAVY OP;1;Undirected
AIM PING PONG GIRL;COMMANDER;1;Undirected
AIM PING PONG GIRL;HEATHER;1;Undirected
AIM PING PONG GIRL;EXTREMIS SOLDIER";1;Undirected
SECRET SERVICE AGENT;VICE PRESIDENT'S DAUGHTER;1;Undirected
SECRET SERVICE AGENT;IRON PATRIOT FAN #1;1;Undirected
SECRET SERVICE AGENT;IRON PATRIOT FAN #2;1;Undirected
SECRET SERVICE AGENT;AIR FORCE ONE OFFICER;1;Undirected
SECRET SERVICE AGENT;NAVY OP;1;Undirected
SECRET SERVICE AGENT;COMMANDER;1;Undirected
SECRET SERVICE AGENT;HEATHER;1;Undirected
SECRET SERVICE AGENT;EXTREMIS SOLDIER";1;Undirected
VICE PRESIDENT'S DAUGHTER;IRON PATRIOT FAN #1;1;Undirected
VICE PRESIDENT'S DAUGHTER;IRON PATRIOT FAN #2;1;Undirected
VICE PRESIDENT'S DAUGHTER;AIR FORCE ONE OFFICER;1;Undirected
VICE PRESIDENT'S DAUGHTER;NAVY OP;1;Undirected
VICE PRESIDENT'S DAUGHTER;COMMANDER;1;Undirected
VICE PRESIDENT'S DAUGHTER;HEATHER;1;Undirected
VICE PRESIDENT'S DAUGHTER;EXTREMIS SOLDIER";1;Undirected
IRON PATRIOT FAN #1;IRON PATRIOT FAN #2;1;Undirected
IRON PATRIOT FAN #1;AIR FORCE ONE OFFICER;1;Undirected
IRON PATRIOT FAN #1;NAVY OP;1;Undirected
IRON PATRIOT FAN #1;COMMANDER;1;Undirected
IRON PATRIOT FAN #1;HEATHER;1;Undirected
IRON PATRIOT FAN #1;EXTREMIS SOLDIER";1;Undirected
IRON PATRIOT FAN #2;AIR FORCE ONE OFFICER;1;Undirected
IRON PATRIOT FAN #2;NAVY OP;1;Undirected
IRON PATRIOT FAN #2;COMMANDER;1;Undirected
IRON PATRIOT FAN #2;HEATHER;1;Undirected
IRON PATRIOT FAN #2;EXTREMIS SOLDIER";1;Undirected
AIR FORCE ONE OFFICER;NAVY OP;1;Undirected
AIR FORCE ONE OFFICER;COMMANDER;1;Undirected
AIR FORCE ONE OFFICER;HEATHER;1;Undirected
AIR FORCE ONE OFFICER;EXTREMIS SOLDIER";1;Undirected
NAVY OP;COMMANDER;1;Undirected
NAVY OP;HEATHER;1;Undirected
NAVY OP;EXTREMIS SOLDIER";1;Undirected
COMMANDER;HEATHER;1;Undirected
COMMANDER;EXTREMIS SOLDIER";1;Undirected
HEATHER;EXTREMIS SOLDIER";1;Undirected
THOR ODINSON;DARRYL;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;NICK FURY;2;Undirected
STEVE ROGERS / CAPTAIN AMERICA;ALEXANDER PIERCE;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;BUCKY BARNES / WINTER SOLDIER;2;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SAM WILSON / FALCON;2;Undirected
STEVE ROGERS / CAPTAIN AMERICA;MARIA HILL;2;Undirected
STEVE ROGERS / CAPTAIN AMERICA;BROCK RUMLOW;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;JASPER SITWELL;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;KATE / AGENT 13;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SMITHSONIAN GUARD;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;JACK ROLLINS;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;COUNCILWOMAN HAWLEY;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;COUNCILMAN SINGH;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;COUNCILMAN ROCKWELL;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;COUNCILMAN YEN;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SENATOR STERN;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;GEORGES BATROC;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;FRENCH PIRATE #1;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;FRENCH PIRATE #2;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;ENGINE PIRATE;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;FRENCH RADIO PIRATE;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SKINNY STEVE;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;LAUNCH TECH #1;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;LAUNCH TECH #2;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;DR. FINE (AS GOZIE AGBO);1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SHIELD INTERROGATOR #1;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SHIELD INTERROGATOR #2;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SCIENTIST #1;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SCIENTIST #2;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;APPLE EMPLOYEE;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;COM TECH #1;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;COM TECH #2;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;RENATA (AS BRANKA KATIC);1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;GARCIA;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;CHARLIE XO;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;CHARLIE WEAPONS TECH;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;LEAD SHIELD PILOT;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SENIOR SHIELD AGENT;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;STRIKE SGT. #1;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;STRIKE SGT. #2;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;STRIKE AGENT;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;25TH FLOOR STRIKE AGENT;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SCUDDER;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;HUMAN RESOURCES EXECUTIVE;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;DOCTOR;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;LEAD EMT;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;CIA INSTRUCTOR;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;CAPITOL HILL POLICE;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;FBI AGENT;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;COMMITTEE MEMBER;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;LITTLE BOY IN THE SMITHSONIAN;1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;FURY CAR VOICE (VOICE);1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;SHIELD COMPUTER (VOICE);1;Undirected
STEVE ROGERS / CAPTAIN AMERICA;THE SMITHSONIAN NARRATOR (VOICE);1;Undirected
NICK FURY;NATASHA ROMANOFF / BLACK WIDOW;2;Undirected
NICK FURY;ALEXANDER PIERCE;1;Undirected
NICK FURY;BUCKY BARNES / WINTER SOLDIER;1;Undirected
NICK FURY;SAM WILSON / FALCON;1;Undirected
NICK FURY;MARIA HILL;2;Undirected
NICK FURY;BROCK RUMLOW;1;Undirected
NICK FURY;JASPER SITWELL;1;Undirected
NICK FURY;KATE / AGENT 13;1;Undirected
NICK FURY;PEGGY CARTER;2;Undirected
NICK FURY;DR. ARNIM ZOLA;1;Undirected
NICK FURY;SMITHSONIAN GUARD;1;Undirected
NICK FURY;JACK ROLLINS;1;Undirected
NICK FURY;COUNCILWOMAN HAWLEY;1;Undirected
NICK FURY;COUNCILMAN SINGH;1;Undirected
NICK FURY;COUNCILMAN ROCKWELL;1;Undirected
NICK FURY;COUNCILMAN YEN;1;Undirected
NICK FURY;SENATOR STERN;1;Undirected
NICK FURY;GEORGES BATROC;1;Undirected
NICK FURY;FRENCH PIRATE #1;1;Undirected
NICK FURY;FRENCH PIRATE #2;1;Undirected
NICK FURY;ENGINE PIRATE;1;Undirected
NICK FURY;FRENCH RADIO PIRATE;1;Undirected
NICK FURY;SKINNY STEVE;1;Undirected
NICK FURY;LAUNCH TECH #1;1;Undirected
NICK FURY;LAUNCH TECH #2;1;Undirected
NICK FURY;DR. FINE (AS GOZIE AGBO);1;Undirected
NICK FURY;SHIELD INTERROGATOR #1;1;Undirected
NICK FURY;SHIELD INTERROGATOR #2;1;Undirected
NICK FURY;SCIENTIST #1;1;Undirected
NICK FURY;SCIENTIST #2;1;Undirected
NICK FURY;APPLE EMPLOYEE;1;Undirected
NICK FURY;COM TECH #1;1;Undirected
NICK FURY;COM TECH #2;1;Undirected
NICK FURY;RENATA (AS BRANKA KATIC);1;Undirected
NICK FURY;GARCIA;1;Undirected
NICK FURY;CHARLIE XO;1;Undirected
NICK FURY;CHARLIE WEAPONS TECH;1;Undirected
NICK FURY;SHIELD TECH;1;Undirected
NICK FURY;LEAD SHIELD PILOT;1;Undirected
NICK FURY;SENIOR SHIELD AGENT;1;Undirected
NICK FURY;SHIELD AGENT;1;Undirected
NICK FURY;STRIKE SGT. #1;1;Undirected
NICK FURY;STRIKE SGT. #2;1;Undirected
NICK FURY;STRIKE AGENT;1;Undirected
NICK FURY;25TH FLOOR STRIKE AGENT;1;Undirected
NICK FURY;SCUDDER;1;Undirected
NICK FURY;HUMAN RESOURCES EXECUTIVE;1;Undirected
NICK FURY;DOCTOR;1;Undirected
NICK FURY;LEAD EMT;1;Undirected
NICK FURY;CIA INSTRUCTOR;1;Undirected
NICK FURY;CAPITOL HILL POLICE;1;Undirected
NICK FURY;FBI AGENT;1;Undirected
NICK FURY;COMMITTEE MEMBER;1;Undirected
NICK FURY;LITTLE BOY IN THE SMITHSONIAN;1;Undirected
NICK FURY;FURY CAR VOICE (VOICE);1;Undirected
NICK FURY;SHIELD COMPUTER (VOICE);1;Undirected
NICK FURY;THE SMITHSONIAN NARRATOR (VOICE);1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;ALEXANDER PIERCE;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;BUCKY BARNES / WINTER SOLDIER;2;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SAM WILSON / FALCON;2;Undirected
NATASHA ROMANOFF / BLACK WIDOW;MARIA HILL;2;Undirected
NATASHA ROMANOFF / BLACK WIDOW;BROCK RUMLOW;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;JASPER SITWELL;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;KATE / AGENT 13;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;PEGGY CARTER;2;Undirected
NATASHA ROMANOFF / BLACK WIDOW;DR. ARNIM ZOLA;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SMITHSONIAN GUARD;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;JACK ROLLINS;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;COUNCILWOMAN HAWLEY;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;COUNCILMAN SINGH;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;COUNCILMAN ROCKWELL;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;COUNCILMAN YEN;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;GEORGES BATROC;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;FRENCH PIRATE #1;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;FRENCH PIRATE #2;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;ENGINE PIRATE;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;FRENCH RADIO PIRATE;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SKINNY STEVE;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;LAUNCH TECH #1;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;LAUNCH TECH #2;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;DR. FINE (AS GOZIE AGBO);1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SHIELD INTERROGATOR #1;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SHIELD INTERROGATOR #2;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SCIENTIST #1;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SCIENTIST #2;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;APPLE EMPLOYEE;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;COM TECH #1;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;COM TECH #2;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;RENATA (AS BRANKA KATIC);1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;GARCIA;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;CHARLIE XO;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;CHARLIE WEAPONS TECH;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SHIELD TECH;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;LEAD SHIELD PILOT;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SENIOR SHIELD AGENT;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SHIELD AGENT;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;STRIKE SGT. #1;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;STRIKE SGT. #2;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;STRIKE AGENT;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;25TH FLOOR STRIKE AGENT;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SCUDDER;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;HUMAN RESOURCES EXECUTIVE;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;DOCTOR;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;LEAD EMT;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;CIA INSTRUCTOR;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;CAPITOL HILL POLICE;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;FBI AGENT;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;COMMITTEE MEMBER;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;LITTLE BOY IN THE SMITHSONIAN;1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;FURY CAR VOICE (VOICE);1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;SHIELD COMPUTER (VOICE);1;Undirected
NATASHA ROMANOFF / BLACK WIDOW;THE SMITHSONIAN NARRATOR (VOICE);1;Undirected
ALEXANDER PIERCE;BUCKY BARNES / WINTER SOLDIER;1;Undirected
ALEXANDER PIERCE;SAM WILSON / FALCON;1;Undirected
ALEXANDER PIERCE;MARIA HILL;1;Undirected
ALEXANDER PIERCE;BROCK RUMLOW;1;Undirected
ALEXANDER PIERCE;JASPER SITWELL;1;Undirected
ALEXANDER PIERCE;KATE / AGENT 13;1;Undirected
ALEXANDER PIERCE;PEGGY CARTER;1;Undirected
ALEXANDER PIERCE;DR. ARNIM ZOLA;1;Undirected
ALEXANDER PIERCE;SMITHSONIAN GUARD;1;Undirected
ALEXANDER PIERCE;JACK ROLLINS;1;Undirected
ALEXANDER PIERCE;COUNCILWOMAN HAWLEY;1;Undirected
ALEXANDER PIERCE;COUNCILMAN SINGH;1;Undirected
ALEXANDER PIERCE;COUNCILMAN ROCKWELL;1;Undirected
ALEXANDER PIERCE;COUNCILMAN YEN;1;Undirected
ALEXANDER PIERCE;SENATOR STERN;1;Undirected
ALEXANDER PIERCE;GEORGES BATROC;1;Undirected
ALEXANDER PIERCE;FRENCH PIRATE #1;1;Undirected
ALEXANDER PIERCE;FRENCH PIRATE #2;1;Undirected
ALEXANDER PIERCE;ENGINE PIRATE;1;Undirected
ALEXANDER PIERCE;FRENCH RADIO PIRATE;1;Undirected
ALEXANDER PIERCE;SKINNY STEVE;1;Undirected
ALEXANDER PIERCE;LAUNCH TECH #1;1;Undirected
ALEXANDER PIERCE;LAUNCH TECH #2;1;Undirected
ALEXANDER PIERCE;DR. FINE (AS GOZIE AGBO);1;Undirected
ALEXANDER PIERCE;SHIELD INTERROGATOR #1;1;Undirected
ALEXANDER PIERCE;SHIELD INTERROGATOR #2;1;Undirected
