id, character
272,Reporter at House Wreckage 
273,Mandarin Studio Technician 
274,Mandarin Look-Out 
275,Rose Hills Sherrif 
276,Rose Hill Deputy / Extremis Soldier 
277,Rose Hill Christmas Tree Shopper 
278,Junior Technician (as Sarah Burkharat) 
279,Senior Technician 
280,Satellite Technician (as Andy Lauer) 
281,Technical Director 
282,Vice President's Analyst 
283,Thomas Richards 
284,President's Aide 
285,Scared Insurgent 
286,Laughing Insurgent 
287,Pageant Emcee 
288,Miss Elk Ridge 
289,Pageant Judge 
290,Gary the Cameraman 
291,Chad Davis 
292,Extremis Candidate 
293,Room Service Waiter / Extremis Soldier 
294,Sweat Shop Agent 
295,Mandarin Guard 
296,Mandarin Guard (as Juan Bofill) 
297,Mandarin Guard (as Paul O'Connor) 
298,Sleepy Mandarin Girl 
299,Annoyed Mandarin Guard 
300,Mandarin Party Girl #1 
301,Mandarin Party Girl #2 
302,Tony's Guard 
303,Ponytail Express 
304,Reluctant AIM Guard 
305,AIM Ping Pong Girl 
306,Secret Service Agent 
307,Vice President's Daughter 
308,Iron Patriot Fan #1 
309,Iron Patriot Fan #2 
310,Air Force One Officer 
311,Navy Op 
312,Commander 
313,Heather 
314,Extremis Soldier 
315,Darryl 
316,Alexander Pierce 
317,Bucky Barnes / Winter Soldier 
318,Sam Wilson / Falcon 
319,Maria Hill 
320,Brock Rumlow 
321,Jasper Sitwell 
322,Kate / Agent 13 
323,Smithsonian Guard 
324,Jack Rollins 
325,Councilwoman Hawley 
326,Councilman Singh 
327,Councilman Rockwell 
328,Councilman Yen 
329,Georges Batroc 
330,French Pirate #1 
331,French Pirate #2 
332,Engine Pirate 
333,French Radio Pirate 
334,Skinny Steve 
335,Launch Tech #1 
336,Launch Tech #2 
337,Dr. Fine (as Gozie Agbo) 
338,SHIELD Interrogator #1 
339,SHIELD Interrogator #2 
340,Scientist #1 
341,Scientist #2 
342,Apple Employee 
343,Com Tech #1 
344,Com Tech #2 
345,Renata (as Branka Katic) 
346,Garcia 
347,Charlie XO 
348,Charlie Weapons Tech 
349,Lead SHIELD Pilot 
350,Senior SHIELD Agent 
351,Strike SGT. #1 
352,Strike SGT. #2 
353,Strike Agent 
